treatment,geno,tag,beaker,tank,robot,ta,ta_dev,ta_se,gr_leios,gr_t0,gr_t0t1,gr_t1t2,gr_t2t3,gr_t0t3,gr_t1t3
HI,S,SI_3,1,1,armand,4150.734536,692.4018553,261.7033023,0.093428,0.1834375,0.1834375,0.131388889,-0.0396,0.096040816,0.053666667
XHI,C,C_2,2,1,armand,4158.568037,352.116554,133.0875478,0.1459,0.1485,0.1485,0.172666667,-0.491333333,0.108378378,0.077809524
HI,C,C_10,4,1,armand,3726.882707,1063.358986,401.9119188,0.116402,0.26475,0.26475,0.152222222,-0.0176,0.136979592,0.075030303
ELEV,C,C_4,5,1,armand,3561.172002,369.3023074,139.583152,0.083693023,0.196,0.196,0.0835,-0.20425,0.071547619,0
HI,M,M9_7,6,1,armand,3685.307092,1020.552183,385.732468,0.093086,0.1970625,0.1970625,0.151666667,-0.095,0.090979592,0.039545455
AMB,C,C_18,7,1,armand,2532.82053,111.5472629,42.16090242,0.036811628,0.132375,0.132375,0.010611111,-0.05225,0.04502381,0
ELEV,S,SI_14,8,1,armand,3628.795871,184.0782872,69.57505281,0.030104,0.180625,0.180625,0.033111111,0.052666667,0.087265306,0.042
XHI,S,SI_10,9,1,armand,4142.940629,816.0281279,308.4296413,0.069666,0.154625,0.154625,0.050277778,0.011533333,0.072489796,0.032666667
AMB,M,M9_3,10,1,armand,2490.33434,145.748066,55.08759096,-0.011426,0.0884375,0.0884375,-0.0595,0.094066667,0.035816327,0.01030303
AMB,C,C_7,12,1,armand,2478.582649,121.8543133,46.05660132,0.094277778,0.2353125,0.2353125,0.073222222,-0.0149,0.112136364,0.04175
ELEV,C,C_9,14,2,armand,3682.331252,280.4020534,105.9820143,0.108258,0.183125,0.183125,0.105833333,-0.0296,0.089612245,0.044272727
HI,C,C_1,15,2,armand,3654.306256,1059.254093,400.3604149,0.045044,0.1645625,0.1645625,0.099055556,0.086266667,0.116530612,0.093242424
AMB,C,C_8,16,2,armand,2469.389377,63.34616152,23.94259855,0.070216,0.1815625,0.1815625,0.039111111,-0.007666667,0.071306122,0.017848485
XHI,C,C_5,17,2,armand,3705.582615,865.1254657,326.9866907,0.117442,0.12175,0.12175,0.178166667,0.000933333,0.105489796,0.097606061
ELEV,M,M9_2,18,2,armand,3477.38748,466.3713119,176.2717871,0.201791111,0.350375,0.350375,0.087722222,-0.0641,0.148727273,0.0335
HI,S,SI_8,19,2,armand,4272.861468,442.071307,167.0872486,0.064086,0.1921875,0.1921875,0.026888889,0.042266667,0.085571429,0.033878788
XHI,S,SI_7,20,2,armand,4306.543381,426.5336593,161.2145698,0.106938,0.250875,0.250875,0.029611111,0.020066667,0.098938776,0.025272727
AMB,S,SI_6,21,2,armand,2455.424258,85.50202564,32.31672806,0.03205,0.13475,0.13475,0.013388889,0.047866667,0.063571429,0.029060606
ELEV,S,SI_1,23,2,armand,3512.426022,444.7608486,168.1037998,0.009684,0.1255625,0.1255625,0.029611111,0.012333333,0.055653061,0.021757576
XHI,M,M9_9,24,2,armand,4240.972453,795.130522,300.5310887,0.016026,0.2085,0.2085,0.053111111,0.0208,0.093959184,0.038424242
HI,S,SI_2,25,3,armanda,3844.115014,774.9179125,292.8914404,0.020902,0.1075,0.1075,0.100277778,-0.010266667,0.068795918,0.050030303
XHI,M,M9_1,26,3,armanda,3918.617511,662.725109,250.4865466,0.089818,0.1714375,0.1714375,0.070666667,0.026866667,0.090163265,0.050757576
ELEV,M,M9_8,28,3,armanda,3804.295301,150.1095054,56.7360601,0.105286,0.1495625,0.1495625,0.207777778,-0.015933333,0.120285714,0.106090909
XHI,S,SI_5,29,3,armanda,4158.330123,704.8512502,266.4087313,0.066506,0.1609375,0.1609375,0.074611111,0.028266667,0.088612245,0.053545455
HI,C,C_3,30,3,armanda,4143.523005,786.8221749,297.3908287,0.137914,0.219875,0.219875,0.108833333,0.058333333,0.129632653,0.085878788
AMB,M,M9_4,31,3,armanda,2642.307672,329.8828284,124.6839894,0.02185,0.094625,0.094625,0.013444444,0.029866667,0.044979592,0.020909091
AMB,S,SI_4,32,3,armanda,2450.238746,108.6150855,41.05264354,0.0582338,0.175375,0.175375,0.009333333,-0.0656,0.040612245,0
ELEV,S,SI_11,34,3,armanda,3747.278124,132.842891,50.20989327,0.018236,0.0874375,0.0874375,-0.003333333,0.0202,0.033510204,0.007363636
AMB,C,C_13,35,3,armanda,2494.063199,165.6393617,62.60579405,0.076652,0.1326875,0.1326875,0.085111111,0.003466667,0.075653061,0.048
XHI,C,C_15,36,3,armanda,3943.129999,663.7890741,250.8886876,0.106844,0.157,0.157,0.16,0.0102,0.113163265,0.091909091
HI,C,C_6,37,4,armanda,4095.017936,862.4295538,325.9677318,0.007444,0.077125,0.077125,0.018111111,-0.0354,0.021,0
AMB,C,C_12,38,4,armanda,2541.805172,263.1091336,99.44590502,0.083158,0.08425,0.08425,0.076111111,0.067666667,0.076183673,0.072272727
AMB,S,SI_9,39,4,armanda,2432.38228,72.8178656,27.5225662,0.088616,0.0790625,0.0790625,0.038166667,0.037466667,0.051306122,0.037848485
HI,M,M9_5,41,4,armanda,3873.140008,714.979644,270.2369043,0.017452,0.0000625,0.0000625,0.029277778,0.0146,0.015244898,0.022606061
XHI,M,M9_6,42,4,armanda,4538.114808,804.0397085,303.8984447,0.116467,0.03525,0.03525,0.182888889,0.070066667,0.100142857,0.131606061
ELEV,S,SI_12,43,4,armanda,3666.867291,614.5724214,232.2865414,0.10791,0.200125,0.200125,0.093166667,0.0076,0.101897959,0.054272727
ELEV,C,C_11,45,4,armanda,3485.849266,572.4533682,216.3670356,0.144068421,0.246875,0.246875,0.143277778,-0.199666667,0.16027027,0.094285714
HI,S,SI_15,46,4,armanda,3916.092181,962.3473977,363.733127,0.085336,0.17025,0.17025,0.050222222,0.0374,0.085489796,0.044393939
ELEV,C,C_14,47,4,armanda,3591.458764,625.2434467,236.3198098,0.146688,0.1643125,0.1643125,0.074222222,0.093133333,0.109428571,0.082818182
XHI,C,C_16,48,4,armanda,4373.475204,771.5468444,291.6172965,0.023298,0.1249375,0.1249375,0.092444444,-0.175333333,0.021081633,0
